Common name,Family,Scientific name,Location,Association ,Ontogentic Stage of Association,Adult Max Length (mm),COI
Bridle cardinalfish,Apogonidae,Apogon aurolineatus,West Atlantic,Facultative,JuvAndAdult,64,partial
Yellowstriped cardinalfish,Apogonidae,Apogon cyanosoma,West Indian Ocean,Facultative,JuvAndAdult,80,partial
Flame cardinalfish,Apogonidae,Apogon maculatus,West Atlantic,Facultative,,114,partial
Moluccan cardinalfish,Apogonidae,Apogon moluccensis,Central Indo-Pacific,Facultative,,90,
Sawcheek cardinalfish,Apogonidae,Apogon quadrisquamatus,West Atlantic,Facultative,JuvAndAdult,64,partial
Tiny cardinalfish,Apogonidae,Ostorhinchus nanus,Western Central Pacific,Facultative,JuvAndAdult,35,
Banggai cardinalfish,Apogonidae,Pterapogon kauderni,Sulawesi,Facultative,JuvAndAdult,65,partial
Mystery blenny,Blenniidae,Parablennius incognitus,Mediterranean,Facultative,,58,
Piano fangblenny,Blenniidae,Plagiotremus tapeinosoma,West Indian Ocean,Facultative,,130,partial
Wrasse blenny,Chaenopsidae ,Hemiemblemaria simulus,Curacao,Facultative,,102,partial
Foureye butterflyfish,Chaetodontidae,Chaetodon capistratus,Curacao,Facultative,,152,partial
Sunburst butterflyfish,Chaetodontidae,Chaetodon kleinii,Sulawesi,Facultative,,140,partial
Banded butterflyfish,Chaetodontidae,Chaetodon striatus,Curacao,Facultative,,152,partial
Redspotted hawkfish,Cirrhitidae,Amblycirrhitus pinos,Curacao,Facultative,,102,patial
Scalyhead sculpin,Cottidae,Artedius harringtoni,Northeast Pacific,Facultative,,100,partial
Longfin sculpin,Cottidae,Jordania zonope,Northeast Pacific,Facultative,,150,
Bridled goby,Gobiidae,Coryphopterus glaucofraenum,Panama,Facultative,JuvAndAdult,76,partial
Goldspot goby,Gobiidae,Gnatholepis thompsoni,West Atlantic,Facultative,JuvAndAdult,76,partial
Bucchich's goby,Gobiidae,Gobius bucchichi,Mediterranean,Facultative,,100,partial
Island goby,Gobiidae,Lythrypnus nesiotes,West Atlantic,Facultative,JuvAndAdult,20,
Rusty goby,Gobiidae,Priolepis hipoliti,West Atlantic,Facultative,JuvAndAdult,32,partial
Blackeye goby,Gobiidae,Rhinogobiops nicholsii,Northeast Pacific,Facultative,,150,partial
French grunt,Haemulidae,Haemulon flavolineatum,Panama,Facultative,Juvenile,305,partial
Painted greenling,Hexarammidae,Oxylebius pictus,Northeast Pacific,Facultative,JuvAndAdult,250,partial
Blackbar soldierfish,Holocentridae,Myripristis jacobus,West Atlantic,Facultative,Juvenile,216,partial
Slippery dick,Labridae,Halichoeres bivittatus,West Atlantic,Facultative,Juvenile,229,partial
Yellowhead wrasse,Labridae,Halichoeres garnoti,West Atlantic,Facultative,Juvenile,203,partial
Clown wrasse,Labridae,Halichoeres maculipinna,West Atlantic,Facultative,Juvenile,165,partial
Blue-streak cleaner wrasse,Labridae,Labroides dimidiatus,Southern Japan,Facultative,Juvenile,115,partial
Blunthead wrasse,Labridae,Thalassoma amblycephalum,"East Africa, Indonesia, Japan",Facultative,Juvenile,140,partial
Bluehead wrasse,Labridae,Thalassoma bifasciatum,Panama,Facultative,Juvenile,152,
Moon wrasse,Labridae,Thalassoma lunare,Central Indo-Pacific,Facultative,Juvenile,250,partial
Surge wrasse,Labridae,Thalassoma purpureum,West Indian Ocean,Facultative,Juvenile,430,partial
Pearly razorfish,Labridae,Xyrichtys novacula,West Atlantic,Facultative,Juvenile,381,partial
Green razorfish,Labridae,Xyrichtys splendens,West Atlantic,Facultative,Juvenile,140,partial
Palehead blenny,Labrisomidae,Gobioclinus gobio,West Atlantic,Facultative,JuvAndAdult,64,partial
Longfin blenny,Labrisomidae,Gobioclinus haitiensis,West Atlantic,Facultative,,76,
Downy blenny,Labrisomidae,Gobioclinus kalisherae,Panama,Facultative,JuvAndAdult,89,
Diamond blenny,Labrisomidae,Malacoctenus boehlkei,Panama,Facultative,,63,partial
Dusky blenny,Labrisomidae,Malacoctenus gilli,Panama,Facultative,JuvAndAdult,76,
Rosy blenny,Labrisomidae,Malacoctenus macropus,Panama,Facultative,JuvAndAdult,57,partial
Saddled blenny,Labrisomidae,Malacoctenus triangulatus,Panama,Facultative,JuvAndAdult,64,partial
Horned blenny,Labrisomidae,Paraclinus grandicomis,West Atlantic,Facultative,JuvAndAdult,40,
Ringed blenny,Labrisomidae,Starksia hassi,West Atlantic,Facultative,JuvAndAdult,44,partial
Pygmy Angelfish,Pomacanthidae,Centropyge argi,West Atlantic,Facultative,JuvAndAdult,76,partial
Skunk anemonefish,Pomacentridae,Amphiprion akallopisos,Indian Ocean,Obligate,JuvAndAdult,100,partial
Barrier reef anemonefish,Pomacentridae,Amphiprion akindynos,Great Barrier Reef and West Pacific,Obligate,JuvAndAdult,115,partial
Allard's anemonefish,Pomacentridae,Amphiprion allardi,West Indian Ocean,Obligate,JuvAndAdult,,
Barber's anemonefish,Pomacentridae,Amphiprion barberi,Western Pacific,Obligate,JuvAndAdult,,
Two-band anemonefish,Pomacentridae,Amphiprion bicinctus,"Western Indian Ocean, Red Sea and Chagos Archipelago",Obligate,JuvAndAdult,,
Chagos anemonefish,Pomacentridae,Amphiprion chagosensis,Chagos archipelago,Obligate,JuvAndAdult,,
Mauritian anemonefish,Pomacentridae,Amphiprion chrysogaster,"Mauritius and Reunion, Indian Ocean",Obligate,JuvAndAdult,,partial
Orange-fin anemonefish,Pomacentridae,Amphiprion chrysopterus,Western Pacific,Obligate,JuvAndAdult,170,partial
Clark's anemonefish,Pomacentridae,Amphiprion clarkii,Indian ocean to Western pacific,Obligate,JuvAndAdult,120,partial
Red saddleback anemonefish,Pomacentridae,Amphiprion ephippium,East Indian Ocean,Obligate,JuvAndAdult,120,partial
Tomato anemonefish,Pomacentridae,Amphiprion frenatus,Indo Pacific,Obligate,JuvAndAdult,60,partial
Seychelles anemonefish,Pomacentridae,Amphiprion fuscocaudatus,"Seychelles Islands and Aldabra, Western Indian Ocean",Obligate,JuvAndAdult,140,
Wide-band anemonefish,Pomacentridae,Amphiprion latezonatus,South Western Pacific,Obligate,JuvAndAdult,140,
Madagascar anemonefish,Pomacentridae,Amphiprion latifasciatus,Western Indian Ocean,Obligate,JuvAndAdult,130,partial
Whitesnout anemonefish,Pomacentridae,Amphiprion mccullochi,South Western Pacific Ocean,Obligate,JuvAndAdult,120,
Red & black anemonefish,Pomacentridae,Amphiprion melanopus,Western Pacific,Obligate,JuvAndAdult,130,partial
Maldive anemonefish,Pomacentridae,Amphiprion nigripes,Western Indian Ocean,Obligate,JuvAndAdult,110,partial
False clown anemonefish,Pomacentridae,Amphiprion ocellaris,Indo Pacific,Obligate,JuvAndAdult,90,partial
Oman anemonefish,Pomacentridae,Amphiprion omanensis,"Oman, Arabian Sea",Obligate,JuvAndAdult,140,
Pacific anemonefish,Pomacentridae,Amphiprion pacificus,Western Pacific,Obligate,JuvAndAdult,48,
Clown anemonefish,Pomacentridae,Amphiprion percula,Western Pacific,Obligate,JuvAndAdult,90,partial
Pink skunk anemonefish,Pomacentridae,Amphiprion perideraion,Indo Pacific,Obligate,JuvAndAdult,100,partial
Saddleback anemonefish,Pomacentridae,Amphiprion polymnus,"Mauritius and Reunion, Indian Ocean",Obligate,JuvAndAdult,120,partial
Australian anemonefish,Pomacentridae,Amphiprion rubrocinctus,East Indian Ocean,Obligate,JuvAndAdult,120,
Orange anemonefish,Pomacentridae,Amphiprion sandaracinos,Indo Pacific,Obligate,JuvAndAdult,130,partial
Sebae anemonefish,Pomacentridae,Amphiprion sebae,Northern Indian Ocean,Obligate,JuvAndAdult,140,partial
Three-band anemonefish,Pomacentridae,Amphiprion tricinctus,Marhall Islands,Obligate,JuvAndAdult,130,
Chromis,Pomacentridae,Chromis chromis,Mediterranean,Facultative,Juvenile,250,partial
Brown chromis,Pomacentridae,Chromis multilineata,West Atlantic,Facultative,Juvenile,165,partial
